Release Month  Release Date	Release Year	Movie	Budget ($M)	Domestic ($M)	Worldwide ($M)
12	25	2001	Ali	109	58.183966	87.683966
7	16	2004	I, Robot	105	144.801023	348.601023
12	17	1999	Stuart Little	105	140.015224	298.8
11	25	2009	The Princess and the Frog	105	104.400899	270.997378
3	7	2008	10,000 B.C.	105	94.784201	269.065678
4	27	2001	Town & Country	105	6.712451	10.364769
6	9	2000	Gone in 60 Seconds	103.3	101.643008	232.643008
5	5	2000	Gladiator	103	187.683805	457.683805
5	23	2013	The Hangover 3	103	112.200072	362.000072
7	1	2009	Public Enemies	102.5	97.10462	210.379983
11	17	2006	Casino Royale	102	167.365	596.365
6	21	2002	Minority Report	102	132.024714	358.824714
10	26	2012	Cloud Atlas	102	27.108272	126.018564
11	15	2002	Harry Potter and the Chamber of Secrets	100	261.98788	878.979634
7	2	1991	Terminator 2: Judgment Day	100	204.859496	516.816151
6	16	1995	Batman Forever	100	184.031112	336.529144
7	27	2001	Planet of the Apes	100	180.01174	362.21174
11	19	2004	National Treasure	100	173.005002	347.405002
12	25	2012	Django Unchained	100	162.805434	425.373688
12	22	2010	Little Fockers	100	148.4386	310.650574
7	15	1994	True Lies	100	146.282411	365.3
11	2	2007	American Gangster	100	130.164645	267.985456
9	18	2009	Cloudy with a Chance of Meatballs	100	124.870275	236.827677
8	6	2010	The Other Guys	100	119.219978	170.93647
12	17	2004	Lemony Snicket's A Series of Unfortunate Events	100	118.627117	201.627117
12	25	2013	The Wolf of Wall Street	100	116.900694	389.642488
5	24	2013	Epic	100	107.518682	268.418682
6	21	1996	Eraser	100	101.295562	234.4
6	21	1996	The Hunchback of Notre Dame	100	100.138851	325.5
12	15	2000	The Emperor's New Groove	100	89.296573	169.296573
8	17	2012	The Expendables 2	100	85.028192	311.979256
10	16	2009	Where the Wild Things Are	100	77.233467	99.123656
12	15	2006	Eragon	100	75.030163	249.488115
12	10	2010	The Tourist	100	67.631157	278.731369
11	24	1999	End of Days	100	66.889043	212.026975
6	11	2004	The Stepford Wives	100	59.475623	96.221971
6	8	2007	Surf's Up	100	58.867694	145.395745
12	8	2006	Blood Diamond	100	57.377916	171.377916
9	24	2010	Legend of the Guardians: The Owls of Ga'Hoole 3D	100	55.675313	139.906561
11	7	1997	Starship Troopers	100	54.768952	121.1
6	5	2009	Land of the Lost	100	49.43837	69.548641
12	25	2003	Peter Pan	100	48.41785	95.255485
7	23	2004	Catwoman	100	40.202379	82.145379
11	27	2002	Treasure Planet	100	38.120554	91.8
3	12	2010	Green Zone	100	35.497337	97.52302
4	18	2014	Transcendence	100	23.016474	76.016474
2	18	2005	Son of the Mask	100	17.018422	59.918422
4	3	1998	The Spanish Prisoner	100	10.162034	13.83513
8	16	2002	The Adventures of Pluto Nash	100	4.411102	7.094995
12	21	2011	Jin líng shí san chai	100	0.311434	93.721434
5	4	2001	The Mummy Returns	98	202.00764	435.040395
12	20	2002	Gangs of New York	97	77.7305	190.4
7	13	2012	Ice Age: Continental Drift	95	161.321843	879.765137
12	28	2001	Black Hawk Down	95	108.638745	159.691085
5	27	2010	Sex and the City 2	95	95.347692	294.680778
2	12	2010	Percy Jackson & the Olympians: The Lightning Thief	95	88.768303	226.46713
11	12	2010	Unstoppable	95	81.562942	169.511609
5	9	1997	The Fifth Element	95	63.570862	263.9
3	31	2000	The Road to El Dorado	95	50.802661	65.7
12	11	2009	The Lovely Bones	95	44.114232	94.894448
5	30	2003	Finding Nemo	94	380.52937	906.465556
12	17	2003	The Lord of the Rings: The Return of the King	94	377.845905	1141.408667
12	18	2002	The Lord of the Rings: The Two Towers	94	342.548984	927.048984
6	15	2001	Lara Croft: Tomb Raider	94	131.144183	274.644183
7	18	2001	Jurassic Park III	93	181.166115	365.9
8	5	2011	Rise of the Planet of the Apes	93	176.760185	482.860185
2	14	2008	The Spiderwick Chronicles	92.5	71.195053	162.839667
11	5	2004	The Incredibles	92	261.441092	632.107545
2	14	2013	A Good Day to Die Hard	92	67.349198	304.249198
4	9	2004	The Alamo	92	22.406362	23.911362
12	22	1995	Cutthroat Island	92	10.017322	18.517322
12	25	2013	The Secret Life of Walter Mitty	91	58.236838	188.536838
7	1	1997	Men in Black	90	250.690539	587.790539
11	19	1999	Toy Story 2	90	245.852179	511.358276
8	3	2001	Rush Hour 2	90	226.164286	347.425832
12	25	2009	Sherlock Holmes	90	209.028679	498.438212
7	1	2009	Ice Age: Dawn of the Dinosaurs	90	196.573705	886.968695
7	21	2000	What Lies Beneath	90	155.464351	288.693989
4	15	2011	Rio	90	143.619809	487.519809
10	6	2006	The Departed	90	133.311	290.539042
